flink_line,suite,invocation_id,test_class,test_name,display_name,plan_index,root_index,fully_accelerated,label,category,note,source_url
2.2,delta,6189cf44-c5c0-43d4-b432-f1b43b8f9d29,io.delta.flink.sink.sql.FlinkSqlTest,testLoadIntoHadoopTable,testLoadIntoHadoopTable(),1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/delta-io/delta/blob/v4.4.0/flink/src/test/java/io/delta/flink/sink/sql/FlinkSqlTest.java
2.2,delta,74efd7da-50d5-4cf5-8f58-6662c2e8dfd7,io.delta.flink.sink.sql.FlinkSqlTest,testLoadIntoPartitionedHadoopTable,testLoadIntoPartitionedHadoopTable(),1,1,True,accelerated,whole-query-native,Entire query admitted by the all-or-nothing gate; no host computation remains between source and sink boundaries.,https://github.com/delta-io/delta/blob/v4.4.0/flink/src/test/java/io/delta/flink/sink/sql/FlinkSqlTest.java
2.2,delta,87bc2479-9d3f-426b-b035-d1e978f20633,io.delta.flink.sink.sql.FlinkSqlTest,testLoadIntoTableWithManyTypes,testLoadIntoTableWithManyTypes(),1,1,False,should be accelerated,data-type,delta sink: Delta column type TIME(0) is not verified by the native writer,https://github.com/delta-io/delta/blob/v4.4.0/flink/src/test/java/io/delta/flink/sink/sql/FlinkSqlTest.java
2.2,formats,abd8f34e-ad6c-4bde-b714-127ec1e60988,org.apache.flink.formats.avro.AvroFilesystemStreamITCase,testNonPart,testNonPart(),1,1,False,not accelerated,source-or-constant-only,Source/sink/constant-only query; no interior SQL computation to accelerate.,https://github.com/apache/flink/blob/release-2.2.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroFilesystemStreamITCase.java
2.2,formats,abd8f34e-ad6c-4bde-b714-127ec1e60988,org.apache.flink.formats.avro.AvroFilesystemStreamITCase,testNonPart,testNonPart(),2,1,False,not accelerated,source-or-constant-only,Source/sink/constant-only query; no interior SQL computation to accelerate.,https://github.com/apache/flink/blob/release-2.2.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroFilesystemStreamITCase.java
2.2,formats,6fd95477-d804-478e-96b5-b189718f12ea,org.apache.flink.formats.avro.AvroFilesystemStreamITCase,testPart,testPart(),1,1,False,not accelerated,source-or-constant-only,Source/sink/constant-only query; no interior SQL computation to accelerate.,https://github.com/apache/flink/blob/release-2.2.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroFilesystemStreamITCase.java
2.2,formats,6fd95477-d804-478e-96b5-b189718f12ea,org.apache.flink.formats.avro.AvroFilesystemStreamITCase,testPart,testPart(),2,1,False,not accelerated,source-or-constant-only,Source/sink/constant-only query; no interior SQL computation to accelerate.,https://github.com/apache/flink/blob/release-2.2.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroFilesystemStreamITCase.java
2.2,formats,cd70d2bb-fa8d-4043-9406-71aae9f2c1f9,org.apache.flink.formats.avro.AvroFilesystemStreamITCase,testPartitionWithBasicDate,testPartitionWithBasicDate(),1,1,False,not accelerated,source-or-constant-only,Source/sink/constant-only query; no interior SQL computation to accelerate.,https://github.com/apache/flink/blob/release-2.2.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroFilesystemStreamITCase.java
2.2,formats,cd70d2bb-fa8d-4043-9406-71aae9f2c1f9,org.apache.flink.formats.avro.AvroFilesystemStreamITCase,testPartitionWithBasicDate,testPartitionWithBasicDate(),2,1,False,not accelerated,source-or-constant-only,Source/sink/constant-only query; no interior SQL computation to accelerate.,https://github.com/apache/flink/blob/release-2.2.1/flink-formats/flink-avro/src/test/java/org/apache/flink/formats/avro/AvroFilesystemStreamITCase.java
2.2,formats,e2a55e5a-f949-4a61-9d25-af551279d00c,org.apache.flink.formats.csv.CsvFileCompactionITCase,testNonPartition,[1],1,1,False,not accelerated,source-or-constant-only,Source/sink/constant-only query; no interior SQL computation to accelerate.,https://github.com/apache/flink/blob/release-2.2.1/flink-formats/flink-csv/src/test/java/org/apache/flink/formats/csv/CsvFileCompactionITCase.java
